"","first_order","number","cohort"
"1",0,740,"Cohort 0"
"2",1995,3,"Cohort 1995"
"3",1996,20,"Cohort 1996"
"4",1997,70,"Cohort 1997"
"5",1998,44,"Cohort 1998"
"6",1999,49,"Cohort 1999"
"7",2000,69,"Cohort 2000"
"8",2001,55,"Cohort 2001"
"9",2002,34,"Cohort 2002"
"10",2003,46,"Cohort 2003"
"11",2004,54,"Cohort 2004"
"12",2005,53,"Cohort 2005"
"13",2006,53,"Cohort 2006"
"14",2007,28,"Cohort 2007"
"15",2008,18,"Cohort 2008"
"16",2009,37,"Cohort 2009"
"17",2010,51,"Cohort 2010"
"18",2011,63,"Cohort 2011"
"19",2012,74,"Cohort 2012"
"20",2013,93,"Cohort 2013"
"21",2014,40,"Cohort 2014"
"22",2015,60,"Cohort 2015"
"23",2016,70,"Cohort 2016"
"24",2017,79,"Cohort 2017"
"25",2018,60,"Cohort 2018"
"26",2019,55,"Cohort 2019"
"27",2020,8,"Cohort 2020"
